"menu_pk","menu_uppk","menu_status","menu_p_type","menu_p_use","menu_level","menu_soft","menu_name","menu_title","menu_remark1","menu_page","menu_remark2","menu_url_path","menu_url_file","menu_url_para","menu_flag","menu_count"
"282","280","1","r","108","4","50","E.全民健保(一.二.三類)-保險對象退保申報表(勞工退休金停止提繳申報表)","E.全民健保(一.二.三類)-保險對象退保申報表(勞工退休金停止提繳申報表)","","report_page","","http://[_hostIP_]:8080/birt/[_reportPath_]/","e_i_5_e.jsp","[_quest_]u=[_un_][_and_]login_company_num=[_login_company_num_][_and_]selfileUrl=[_selfileUrl_][_and_]fomstype=[_fomsType_]","","7"
"283","280","1","r","109","4","50","F.全民健康保險保險對象變更事項申報表(勞工退休金勞工資料變更申請書)","F.全民健康保險保險對象變更事項申報表(勞工退休金勞工資料變更申請書)","","report_page","","http://[_hostIP_]:8080/birt/[_reportPath_]/","e_i_5_f.jsp","[_quest_]u=[_un_][_and_]login_company_num=[_login_company_num_][_and_]selfileUrl=[_selfileUrl_][_and_]fomstype=[_fomsType_]","","8"
"284","102","1","x","0","2","50","I.駐台辦事處驗證","I.駐台辦事處驗證","","","","","#","","","0"
"285","284","1","x","0","3","50","B.直聘驗證","B.直聘驗證","","","","","#","","","0"
"286","285","1","x","0","4","50","A.印尼","A.印尼","","","","","#","","","0"
"287","286","1","r","305","5","50","04.雇主採直接聘僱方式聘僱外勞聲明書","04.雇主採直接聘僱方式聘僱外勞聲明書","","report_page","","../report_foms/reports/www/","i_b_a_04/i_b_a_04.php","[_quest_]u=[_un_][_and_]login_company_num=[_login_company_num_][_and_]selfileUrl=[_selfileUrl_][_and_]fomstype=[_fomsType_][_and_]sn_ap_flag=[_sn_ap_flag_]","","14"
"288","286","1","r","306","5","50","05.直接聘僱委託書","05.直接聘僱委託書","","report_page","","../report_foms/reports/www/","i_b_a_05/i_b_a_05.php","[_quest_]u=[_un_][_and_]login_company_num=[_login_company_num_][_and_]selfileUrl=[_selfileUrl_][_and_]fomstype=[_fomsType_][_and_]sn_ap_flag=[_sn_ap_flag_]","","8"
"289","285","1","x","0","4","50","C.菲律賓","C.菲律賓","","","","","#","","","0"
"290","289","1","r","245","5","50","02.菲律賓身分證英文翻譯範本","02.菲律賓身分證英文翻譯範本","","report_page","","../report_foms/reports/www/","i_b_c_02/i_b_c_02.php","[_quest_]u=[_un_][_and_]login_company_num=[_login_company_num_][_and_]selfileUrl=[_selfileUrl_][_and_]fomstype=[_fomsType_][_and_]sn_ap_flag=[_sn_ap_flag_]","","8"
"291","289","1","r","246","5","50","08.外國人確實了解就業服務法相關規定切結書","08.外國人確實了解就業服務法相關規定切結書","","report_page","","../report_foms/reports/www/","i_b_c_08/i_b_c_08.php","[_quest_]u=[_un_][_and_]login_company_num=[_login_company_num_][_and_]selfileUrl=[_selfileUrl_][_and_]fomstype=[_fomsType_][_and_]sn_ap_flag=[_sn_ap_flag_]","","10"
"292","285","1","x","0","4","50","D.泰國","D.泰國","","","","","#","","","0"
"293","292","1","r","247","5","50","03.身份證英譯範本","03.身份證英譯範本","","report_page","","../report_foms/reports/www/","i_b_d_03/i_b_d_03.php","[_quest_]u=[_un_][_and_]login_company_num=[_login_company_num_][_and_]selfileUrl=[_selfileUrl_][_and_]fomstype=[_fomsType_][_and_]sn_ap_flag=[_sn_ap_flag_]","","4"
"294","292","1","r","248","5","50","11.外國人確實了解就業服務法相關規定切結書","11.外國人確實了解就業服務法相關規定切結書","","report_page","","../report_foms/reports/www/","i_b_d_11_5/i_b_d_11_5.php","[_quest_]u=[_un_][_and_]login_company_num=[_login_company_num_][_and_]selfileUrl=[_selfileUrl_][_and_]fomstype=[_fomsType_][_and_]sn_ap_flag=[_sn_ap_flag_]","","27"
"295","102","1","x","0","2","50","J.駐台辦事處相關文件","J.駐台辦事處相關文件","","","","","#","","","0"
"296","295","1","x","0","3","50","02.泰國-勞動契約","02.泰國-勞動契約","","","","","#","","","0"
"297","296","1","r","146","4","50","A02.泰國-廠工勞動契約(左右對照)(1050415)","A02.泰國-廠工勞動契約(左右對照)(1050415)","","report_page","","../report_foms/report/sfoms/","e_j_2_a02.php","[_quest_]u=[_un_][_and_]login_company_num=[_login_company_num_][_and_]selfileUrl=[_selfileUrl_][_and_]fomstype=[_fomsType_][_and_]sn_ap_flag=[_sn_ap_flag_]","","804"
"298","296","1","r","181","4","50","A03.泰國-勞動契約-廠工授權書","A03.泰國-勞動契約-廠工授權書","","report_page","","../report_foms/reports/www/","e_j_2_a03/e_j_2_a03.php","[_quest_]u=[_un_][_and_]login_company_num=[_login_company_num_][_and_]selfileUrl=[_selfileUrl_][_and_]fomstype=[_fomsType_][_and_]sn_ap_flag=[_sn_ap_flag_]","","610"
"299","296","1","r","359","4","50","A04.泰國-勞動契約(廠工)-廠工需求書(1050415)","A04.泰國-勞動契約(廠工)-廠工需求書(1050415)","","report_page","","../report_foms/report/sfoms/","e_j_2_a04.php","[_quest_]u=[_un_][_and_]login_company_num=[_login_company_num_][_and_]selfileUrl=[_selfileUrl_][_and_]fomstype=[_fomsType_][_and_]sn_ap_flag=[_sn_ap_flag_]","","655"
"300","296","1","r","147","4","50","A05.泰國-3K需求書","A05.泰國-3K需求書","","report_page","","../report_foms/report/sfoms/","e_j_2_a05.php","[_quest_]u=[_un_][_and_]login_company_num=[_login_company_num_][_and_]selfileUrl=[_selfileUrl_][_and_]fomstype=[_fomsType_][_and_]sn_ap_flag=[_sn_ap_flag_]","","172"
"301","296","1","r","182","4","50","A07.泰國-勞動契約-辦件切結書NEW-直聘(台北市)","A07.泰國-勞動契約-辦件切結書NEW-直聘(台北市)","","report_page","","../report_foms/reports/www/","e_j_2_a07/e_j_2_a07.php","[_quest_]u=[_un_][_and_]login_company_num=[_login_company_num_][_and_]selfileUrl=[_selfileUrl_][_and_]fomstype=[_fomsType_][_and_]sn_ap_flag=[_sn_ap_flag_]","","9"
"302","296","1","r","271","4","50","A09.泰國-勞動契約(廠工)-6個月內引進切結書","A09.泰國-勞動契約(廠工)-6個月內引進切結書","","report_page","","../report_foms/reports/www/","e_j_2_a09/e_j_2_a09.php","[_quest_]u=[_un_][_and_]login_company_num=[_login_company_num_][_and_]selfileUrl=[_selfileUrl_][_and_]fomstype=[_fomsType_][_and_]sn_ap_flag=[_sn_ap_flag_]","","7"
"303","296","1","r","360","4","50","A12.泰國-勞動契約-生活管理計畫書","A12.泰國-勞動契約-生活管理計畫書","","report_page","","../report_foms/report/sfoms/","e_j_2_a12.php","[_quest_]u=[_un_][_and_]login_company_num=[_login_company_num_][_and_]selfileUrl=[_selfileUrl_][_and_]fomstype=[_fomsType_][_and_]sn_ap_flag=[_sn_ap_flag_]","","686"
"304","296","1","r","361","4","50","A13.泰國-勞動契約-外籍工作者生活管理人員名冊","A13.泰國-勞動契約-外籍工作者生活管理人員名冊","","report_page","","../report_foms/reports/www/","e_j_2_a13/e_j_2_a13.php","[_quest_]u=[_un_][_and_]login_company_num=[_login_company_num_][_and_]selfileUrl=[_selfileUrl_][_and_]fomstype=[_fomsType_][_and_]sn_ap_flag=[_sn_ap_flag_]","","108"
"305","296","1","r","362","4","50","A14.泰國-勞動契約-送泰辦收據(高雄)","A14.泰國-勞動契約-送泰辦收據(高雄)","","report_page","","../report_foms/reports/www/","e_j_2_a14_k/e_j_2_a14_k.php","[_quest_]u=[_un_][_and_]login_company_num=[_login_company_num_][_and_]selfileUrl=[_selfileUrl_][_and_]fomstype=[_fomsType_][_and_]sn_ap_flag=[_sn_ap_flag_]","","257"
"306","296","1","r","363","4","50","A14.泰國-勞動契約-送泰辦收據(台北)","A14.泰國-勞動契約-送泰辦收據(台北)","","report_page","","../report_foms/reports/www/","e_j_2_a14_tp/e_j_2_a14_tp.php","[_quest_]u=[_un_][_and_]login_company_num=[_login_company_num_][_and_]selfileUrl=[_selfileUrl_][_and_]fomstype=[_fomsType_][_and_]sn_ap_flag=[_sn_ap_flag_]","","32"
"307","296","31","r","334","4","50","B05.泰國-勞動契約-需求書(看護工)","B05.泰國-勞動契約-需求書(看護工)","20170331需求","report_page","","../report_foms/reports/www/","e_j_2_b05/e_j_2_b05.php","[_quest_]u=[_un_][_and_]login_company_num=[_login_company_num_][_and_]selfileUrl=[_selfileUrl_][_and_]fomstype=[_fomsType_][_and_]sn_ap_flag=[_sn_ap_flag_]","","16"
"308","296","31","r","296","4","50","B06.泰國-勞動契約(幫傭)-授權書(看護工)","B06.泰國-勞動契約(幫傭)-授權書(看護工)","20170331需求","report_page","","../report_foms/reports/www/","e_j_2_b06/e_j_2_b06.php","[_quest_]u=[_un_][_and_]login_company_num=[_login_company_num_][_and_]selfileUrl=[_selfileUrl_][_and_]fomstype=[_fomsType_][_and_]sn_ap_flag=[_sn_ap_flag_]","","7"
"309","296","1","r","297","4","50","B08.泰國-勞動契約(幫傭)-生活管理計畫書-幫傭、看護工適用(中英)","B08.泰國-勞動契約(幫傭)-生活管理計畫書-幫傭、看護工適用(中英)","","report_page","","../report_foms/reports/www/","e_j_2_b08/e_j_2_b08.php","[_quest_]u=[_un_][_and_]login_company_num=[_login_company_num_][_and_]selfileUrl=[_selfileUrl_][_and_]fomstype=[_fomsType_][_and_]sn_ap_flag=[_sn_ap_flag_]","","42"
"310","296","31","r","221","4","50","B09.送泰辦收據(看護工/幫傭)","B09.送泰辦收據(看護工/幫傭)","20170331需求","report_page","","../report_foms/reports/www/","e_j_2_b09/e_j_2_b09.php","[_quest_]u=[_un_][_and_]login_company_num=[_login_company_num_][_and_]selfileUrl=[_selfileUrl_][_and_]fomstype=[_fomsType_][_and_]sn_ap_flag=[_sn_ap_flag_]","","14"
"311","296","1","r","222","4","50","B10.被照顧人個人資料及工作內容說明書(高雄泰辦)","B10.被照顧人個人資料及工作內容說明書(高雄泰辦)","","report_page","","../report_foms/reports/www/","e_j_2_b10/e_j_2_b10.php","[_quest_]u=[_un_][_and_]login_company_num=[_login_company_num_][_and_]selfileUrl=[_selfileUrl_][_and_]fomstype=[_fomsType_][_and_]sn_ap_flag=[_sn_ap_flag_]","","17"
"312","296","31","r","345","4","50","B11.泰國-勞動契約-看護工、幫傭泰辦申請書","B11.泰國-勞動契約-看護工、幫傭泰辦申請書","20170331需求","report_page","","../report_foms/reports/www/","e_j_2_b11/e_j_2_b11.php","[_quest_]u=[_un_][_and_]login_company_num=[_login_company_num_][_and_]selfileUrl=[_selfileUrl_][_and_]fomstype=[_fomsType_][_and_]sn_ap_flag=[_sn_ap_flag_]","","17"
"313","295","1","x","0","3","50","03.泰國-直聘中心文件","03.泰國-直聘中心文件","","","","","#","","","0"
"314","313","1","r","364","4","50","B01.說明書","B01.說明書","","report_page","","../report_foms/reports/www/","e_j_3_b01/e_j_3_b01.php","[_quest_]u=[_un_][_and_]login_company_num=[_login_company_num_][_and_]selfileUrl=[_selfileUrl_][_and_]fomstype=[_fomsType_][_and_]sn_ap_flag=[_sn_ap_flag_]","","14"
"315","313","31","r","365","4","50","B03.看護工工作內容說明書","B03.看護工工作內容說明書","20170331需求","report_page","","../report_foms/reports/www/","e_j_3_b03/e_j_3_b03.php","[_quest_]u=[_un_][_and_]login_company_num=[_login_company_num_][_and_]selfileUrl=[_selfileUrl_][_and_]fomstype=[_fomsType_][_and_]sn_ap_flag=[_sn_ap_flag_]","","9"
"316","313","1","r","223","4","50","B04.生活服務照顧計畫書-中英印泰越","B04.生活服務照顧計畫書-中英印泰越","","report_page","","../report_foms/reports/www/","e_j_3_b04/e_j_3_b04.php","[_quest_]u=[_un_][_and_]login_company_num=[_login_company_num_][_and_]selfileUrl=[_selfileUrl_][_and_]fomstype=[_fomsType_][_and_]sn_ap_flag=[_sn_ap_flag_]","","19"
"317","313","1","r","366","4","50","B06.雇主/國內外仲介/女傭基本資料表","B06.雇主/國內外仲介/女傭基本資料表","","report_page","","../report_foms/reports/www/","e_j_3_b06/e_j_3_b06.php","[_quest_]u=[_un_][_and_]login_company_num=[_login_company_num_][_and_]selfileUrl=[_selfileUrl_][_and_]fomstype=[_fomsType_][_and_]sn_ap_flag=[_sn_ap_flag_]","","10"
"318","295","1","x","0","3","50","04.菲律賓-勞動契約 (台北.台中版)","04.菲律賓-勞動契約 (台北.台中版)","","","","","#","","","0"
"319","318","1","r","63","4","50","A01.菲律賓 - 需求書","A01.菲律賓 - 需求書","","report_page","","http://[_hostIP_]:8080/birt/[_reportPath_]/","e_j_3_a01.jsp","[_quest_]u=[_un_][_and_]login_company_num=[_login_company_num_][_and_]selfileUrl=[_selfileUrl_][_and_]fomstype=[_fomsType_]","","20"
"320","318","1","r","64","4","50","A03.菲律賓 - 資料表","A03.菲律賓 - 資料表","","report_page","","http://[_hostIP_]:8080/birt/[_reportPath_]/","e_j_3_a03.jsp","[_quest_]u=[_un_][_and_]login_company_num=[_login_company_num_][_and_]selfileUrl=[_selfileUrl_][_and_]fomstype=[_fomsType_]","","13"
"321","318","1","r","65","1","50","A04.菲律賓 - 授權書 (國外)","A04.菲律賓 - 授權書 (國外)","","report_page","","http://[_hostIP_]:8080/birt/[_reportPath_]/","e_j_3_a04.jsp","[_quest_]u=[_un_][_and_]login_company_num=[_login_company_num_][_and_]selfileUrl=[_selfileUrl_][_and_]fomstype=[_fomsType_]","","12"
"322","318","31","r","66","1","50","A05.菲律賓 - 授權書 (國內廠工及看護工)","A05.菲律賓 - 授權書 (國內廠工及看護工)","20170331需求","report_page","","http://[_hostIP_]:8080/birt/[_reportPath_]/","e_j_3_a05.jsp","[_quest_]u=[_un_][_and_]login_company_num=[_login_company_num_][_and_]selfileUrl=[_selfileUrl_][_and_]fomstype=[_fomsType_]","","11"
"323","318","1","r","67","1","50","A06.菲律賓 - 撒銷授權書","A06.菲律賓 - 撒銷授權書","","report_page","","http://[_hostIP_]:8080/birt/[_reportPath_]/","e_j_3_a06.jsp","[_quest_]u=[_un_][_and_]login_company_num=[_login_company_num_][_and_]selfileUrl=[_selfileUrl_][_and_]fomstype=[_fomsType_]","","7"
"324","318","1","r","68","1","50","A08.菲律賓 - 協議備忘錄","A08.菲律賓 - 協議備忘錄","","report_page","","http://[_hostIP_]:8080/birt/[_reportPath_]/","e_j_3_a08.jsp","[_quest_]u=[_un_][_and_]login_company_num=[_login_company_num_][_and_]selfileUrl=[_selfileUrl_][_and_]fomstype=[_fomsType_]","","10"
"325","318","1","r","69","1","50","A09.菲律賓 - 仲介立案","A09.菲律賓 - 仲介立案","","report_page","","http://[_hostIP_]:8080/birt/[_reportPath_]/","e_j_3_a09.jsp","[_quest_]u=[_un_][_and_]login_company_num=[_login_company_num_][_and_]selfileUrl=[_selfileUrl_][_and_]fomstype=[_fomsType_]","","9"
"326","318","1","r","367","1","50","A10.菲律賓 - 仲介合作夥伴申請表","A10.菲律賓 - 仲介合作夥伴申請表","","report_page","","../report_foms/reports/www/","e_j_4_a10/e_j_4_a10.php","[_quest_]u=[_un_][_and_]login_company_num=[_login_company_num_][_and_]selfileUrl=[_selfileUrl_][_and_]fomstype=[_fomsType_][_and_]sn_ap_flag=[_sn_ap_flag_]","","10"
"327","318","1","r","70","1","50","A12.菲律賓 - 養謢機構看護工契約","A12.菲律賓 - 養謢機構看護工契約","","report_page","","http://[_hostIP_]:8080/birt/[_reportPath_]/","e_j_3_a12.jsp","[_quest_]u=[_un_][_and_]login_company_num=[_login_company_num_][_and_]selfileUrl=[_selfileUrl_][_and_]fomstype=[_fomsType_]","","11"
"328","318","31","r","71","1","50","A13.菲律賓 - 看護工契約","A13.菲律賓 - 看護工契約","20170331需求","report_page","","http://[_hostIP_]:8080/birt/[_reportPath_]/","e_j_3_a13.jsp","[_quest_]u=[_un_][_and_]login_company_num=[_login_company_num_][_and_]selfileUrl=[_selfileUrl_][_and_]fomstype=[_fomsType_]","","12"
"329","318","31","r","72","1","50","A14.菲律賓 - 幫傭契約","A14.菲律賓 - 幫傭契約","20170331需求","report_page","","http://[_hostIP_]:8080/birt/[_reportPath_]/","e_j_3_a14.jsp","[_quest_]u=[_un_][_and_]login_company_num=[_login_company_num_][_and_]selfileUrl=[_selfileUrl_][_and_]fomstype=[_fomsType_]","","8"
"330","318","1","r","73","1","50","A17.菲律賓 - 遞補切結書(未滿一年)","A17.菲律賓 - 遞補切結書(未滿一年)","","report_page","","http://[_hostIP_]:8080/birt/[_reportPath_]/","e_j_3_a17.jsp","[_quest_]u=[_un_][_and_]login_company_num=[_login_company_num_][_and_]selfileUrl=[_selfileUrl_][_and_]fomstype=[_fomsType_]","","9"
"331","318","8","r","368","1","50","A18.菲律賓 - 遞補說明書(舊)","A18.菲律賓 - 遞補說明書(舊)","","report_page","","../report_foms/reports/www/","e_j_4_a18/e_j_4_a18.php","[_quest_]u=[_un_][_and_]login_company_num=[_login_company_num_][_and_]selfileUrl=[_selfileUrl_][_and_]fomstype=[_fomsType_][_and_]sn_ap_flag=[_sn_ap_flag_]","","0"
"332","318","8","r","369","1","50","C07.菲律賓 - 仲介換證切結書(台北、台中)(舊)","C07.菲律賓 - 仲介換證切結書(台北、台中)(舊)","","report_page","","../report_foms/reports/www/","e_j_4_c07/e_j_4_c07.php","[_quest_]u=[_un_][_and_]login_company_num=[_login_company_num_][_and_]selfileUrl=[_selfileUrl_][_and_]fomstype=[_fomsType_][_and_]sn_ap_flag=[_sn_ap_flag_]","","1"
"333","295","1","x","0","3","50","04.菲律賓-勞動契約 (高雄版)","04.菲律賓-勞動契約 (高雄版)","","","","","#","","","0"
"334","333","1","r","152","4","50","A01_K.菲律賓 - 需求書","A01_K.菲律賓 - 需求書","","report_page","","../report_foms/report/sfoms/","e_j_4_a01_k.php","[_quest_]u=[_un_][_and_]login_company_num=[_login_company_num_][_and_]selfileUrl=[_selfileUrl_][_and_]fomstype=[_fomsType_][_and_]sn_ap_flag=[_sn_ap_flag_]","","17"
"335","333","1","r","153","4","50","A03_K.菲律賓 - 資料表","A03_K.菲律賓 - 資料表","","report_page","","../report_foms/report/sfoms/","e_j_4_a03_k.php","[_quest_]u=[_un_][_and_]login_company_num=[_login_company_num_][_and_]selfileUrl=[_selfileUrl_][_and_]fomstype=[_fomsType_][_and_]sn_ap_flag=[_sn_ap_flag_]","","23"
"336","333","1","r","154","4","50","A04_K.菲律賓 - 授權書(國外)","A04_K.菲律賓 - 授權書(國外)","","report_page","","../report_foms/report/sfoms/","e_j_4_a04_k.php","[_quest_]u=[_un_][_and_]login_company_num=[_login_company_num_][_and_]selfileUrl=[_selfileUrl_][_and_]fomstype=[_fomsType_][_and_]sn_ap_flag=[_sn_ap_flag_]","","7"
"337","333","31","r","155","4","50","A05_K.菲律賓 - 授權書(國內廠工及看護工)","A05_K.菲律賓 - 授權書(國內廠工及看護工)","20170331需求","report_page","","../report_foms/report/sfoms/","e_j_4_a05_k.php","[_quest_]u=[_un_][_and_]login_company_num=[_login_company_num_][_and_]selfileUrl=[_selfileUrl_][_and_]fomstype=[_fomsType_][_and_]sn_ap_flag=[_sn_ap_flag_]","","9"
"338","333","1","r","156","4","50","A08_K.菲律賓 - 協議備忘錄","A08_K.菲律賓 - 協議備忘錄","","report_page","","../report_foms/report/sfoms/","e_j_4_a08_k.php","[_quest_]u=[_un_][_and_]login_company_num=[_login_company_num_][_and_]selfileUrl=[_selfileUrl_][_and_]fomstype=[_fomsType_][_and_]sn_ap_flag=[_sn_ap_flag_]","","30"
"339","333","1","r","395","4","50","A10_K.菲律賓 - 勞動契約-仲介合作夥伴申請表","A10_K.菲律賓 - 勞動契約-仲介合作夥伴申請表","","report_page","","../report_foms/report/sfoms/","e_j_4_a10.php","[_quest_]u=[_un_][_and_]login_company_num=[_login_company_num_][_and_]selfileUrl=[_selfileUrl_][_and_]fomstype=[_fomsType_][_and_]sn_ap_flag=[_sn_ap_flag_]","","43"
"340","333","31","r","396","4","50","A12_K.菲律賓 - 養謢機構看護工契約","A12_K.菲律賓 - 養謢機構看護工契約","20170331需求","report_page","","../report_foms/report/sfoms/","e_j_4_a12k.php","[_quest_]u=[_un_][_and_]login_company_num=[_login_company_num_][_and_]selfileUrl=[_selfileUrl_][_and_]fomstype=[_fomsType_][_and_]sn_ap_flag=[_sn_ap_flag_]","","11"
"341","333","31","r","397","4","50","A13_K.菲律賓 - 看護工契約","A13_K.菲律賓 - 看護工契約","20170331需求","report_page","","../report_foms/report/sfoms/","e_j_4_a13k.php","[_quest_]u=[_un_][_and_]login_company_num=[_login_company_num_][_and_]selfileUrl=[_selfileUrl_][_and_]fomstype=[_fomsType_][_and_]sn_ap_flag=[_sn_ap_flag_]","","14"
"342","333","31","r","398","4","50","A14_K.菲律賓 - 幫傭契約","A14_K.菲律賓 - 幫傭契約","20170331需求","report_page","","../report_foms/report/sfoms/","e_j_4_a14k.php","[_quest_]u=[_un_][_and_]login_company_num=[_login_company_num_][_and_]selfileUrl=[_selfileUrl_][_and_]fomstype=[_fomsType_][_and_]sn_ap_flag=[_sn_ap_flag_]","","8"
"343","333","1","r","399","4","50","A17_K.菲律賓 - 遞補切結書","A17_K.菲律賓 - 遞補切結書","","report_page","","../report_foms/report/sfoms/","e_j_4_a17k.php","[_quest_]u=[_un_][_and_]login_company_num=[_login_company_num_][_and_]selfileUrl=[_selfileUrl_][_and_]fomstype=[_fomsType_][_and_]sn_ap_flag=[_sn_ap_flag_]","","7"
"344","333","8","r","400","4","50","C07_K.菲律賓 - 切結書(舊)","C07_K.菲律賓 - 切結書(舊)","","report_page","","../report_foms/report/sfoms/","e_j_4_c07k.php","[_quest_]u=[_un_][_and_]login_company_num=[_login_company_num_][_and_]selfileUrl=[_selfileUrl_][_and_]fomstype=[_fomsType_][_and_]sn_ap_flag=[_sn_ap_flag_]","","1"
"345","333","1","r","401","4","50","D13_K.菲律賓 - 保證書(中英文)","D13_K.菲律賓 - 保證書(中英文)","","report_page","","../report_foms/report/sfoms/","e_j_4_d13k_cht.php","[_quest_]u=[_un_][_and_]login_company_num=[_login_company_num_][_and_]selfileUrl=[_selfileUrl_][_and_]fomstype=[_fomsType_][_and_]sn_ap_flag=[_sn_ap_flag_]","","8"
"346","333","1","r","402","4","50","D13_K.菲律賓 - 保證書(英文)","D13_K.菲律賓 - 保證書(英文)","","report_page","","../report_foms/report/sfoms/","e_j_4_d13k_eng.php","[_quest_]u=[_un_][_and_]login_company_num=[_login_company_num_][_and_]selfileUrl=[_selfileUrl_][_and_]fomstype=[_fomsType_][_and_]sn_ap_flag=[_sn_ap_flag_]","","9"
"347","295","1","x","0","3","50","05.菲律賓-直聘中心文件","05.菲律賓-直聘中心文件","","","","","#","","","0"
"348","347","1","r","224","4","50","02.菲勞中心資料表","02.菲勞中心資料表","","report_page","","../report_foms/reports/www/","e_j_5_02/e_j_5_02.php","[_quest_]u=[_un_][_and_]login_company_num=[_login_company_num_][_and_]selfileUrl=[_selfileUrl_][_and_]fomstype=[_fomsType_][_and_]sn_ap_flag=[_sn_ap_flag_]","","6"
"349","347","1","r","370","4","50","04.幫傭契約","04.幫傭契約","","report_page","","../report_foms/reports/www/","e_j_5_04/e_j_5_04.php","[_quest_]u=[_un_][_and_]login_company_num=[_login_company_num_][_and_]selfileUrl=[_selfileUrl_][_and_]fomstype=[_fomsType_][_and_]sn_ap_flag=[_sn_ap_flag_]","","5"
"350","347","1","r","225","4","50","07.外國人確實了解就業服務法相關規定切結書","07.外國人確實了解就業服務法相關規定切結書","","report_page","","../report_foms/reports/www/","e_j_5_07/e_j_5_07.php","[_quest_]u=[_un_][_and_]login_company_num=[_login_company_num_][_and_]selfileUrl=[_selfileUrl_][_and_]fomstype=[_fomsType_][_and_]sn_ap_flag=[_sn_ap_flag_]","","15"
"351","295","1","x","0","3","50","06.印尼-勞動契約","06.印尼-勞動契約","","","","","#","","","0"
"352","351","1","r","371","4","50","02.印尼-勞動契約-中英-授權書","02.印尼-勞動契約-中英-授權書","","report_page","","../report_foms/reports/www/","e_j_6_02/e_j_6_02.php","[_quest_]u=[_un_][_and_]login_company_num=[_login_company_num_][_and_]selfileUrl=[_selfileUrl_][_and_]fomstype=[_fomsType_][_and_]sn_ap_flag=[_sn_ap_flag_]","","14"
"353","351","31","r","74","4","50","B-1.中印-勞動契約(監護工/家庭幫傭)","B-1.中印-勞動契約(監護工/家庭幫傭)","20170331需求","report_page","","http://[_hostIP_]:8080/birt/[_reportPath_]/","e_j_6_b_1.jsp","[_quest_]u=[_un_][_and_]login_company_num=[_login_company_num_][_and_]selfileUrl=[_selfileUrl_][_and_]fomstype=[_fomsType_]","","9"
"354","351","31","r","75","4","50","B-2.中印-授權書(監護工/家庭幫傭)","B-2.中印-授權書(監護工/家庭幫傭)","20170331需求","report_page","","http://[_hostIP_]:8080/birt/[_reportPath_]/","e_j_6_b_2.jsp","[_quest_]u=[_un_][_and_]login_company_num=[_login_company_num_][_and_]selfileUrl=[_selfileUrl_][_and_]fomstype=[_fomsType_]","","5"
"355","351","31","r","76","4","50","B-3.中印-需求書(監護工/家庭幫傭)","B-3.中印-需求書(監護工/家庭幫傭)","20170331需求","report_page","","http://[_hostIP_]:8080/birt/[_reportPath_]/","e_j_6_b_3.jsp","[_quest_]u=[_un_][_and_]login_company_num=[_login_company_num_][_and_]selfileUrl=[_selfileUrl_][_and_]fomstype=[_fomsType_]","","9"
"356","351","1","r","77","4","50","C-2.中印-勞動契約(養護機構)","C-2.中印-勞動契約(養護機構)","","report_page","","http://[_hostIP_]:8080/birt/[_reportPath_]/","e_j_6_c_2.jsp","[_quest_]u=[_un_][_and_]login_company_num=[_login_company_num_][_and_]selfileUrl=[_selfileUrl_][_and_]fomstype=[_fomsType_]","","8"
"357","351","1","r","78","4","50","D.中英-辦件申請書(留底範本)","D.中英-辦件申請書(留底範本)","","report_page","","http://[_hostIP_]:8080/birt/[_reportPath_]/","e_j_6_d.jsp","[_quest_]u=[_un_][_and_]login_company_num=[_login_company_num_][_and_]selfileUrl=[_selfileUrl_][_and_]fomstype=[_fomsType_]","","39"
"358","295","1","x","0","3","50","07.印尼-直聘中心文件","07.印尼-直聘中心文件","","","","","#","","","0"
"359","358","1","r","310","4","50","01.申請書","01.申請書","","report_page","","../report_foms/reports/www/","e_j_7_01/e_j_7_01.php","[_quest_]u=[_un_][_and_]login_company_num=[_login_company_num_][_and_]selfileUrl=[_selfileUrl_][_and_]fomstype=[_fomsType_][_and_]sn_ap_flag=[_sn_ap_flag_]","","17"
"360","358","1","r","226","4","50","02.勞動契約","02.勞動契約","","report_page","","../report_foms/reports/www/","e_j_7_02/e_j_7_02.php","[_quest_]u=[_un_][_and_]login_company_num=[_login_company_num_][_and_]selfileUrl=[_selfileUrl_][_and_]fomstype=[_fomsType_][_and_]sn_ap_flag=[_sn_ap_flag_]","","16"
"361","358","1","r","227","4","50","03.薪資表","03.薪資表","","report_page","","../report_foms/reports/www/","e_j_7_03/e_j_7_03.php","[_quest_]u=[_un_][_and_]login_company_num=[_login_company_num_][_and_]selfileUrl=[_selfileUrl_][_and_]fomstype=[_fomsType_][_and_]sn_ap_flag=[_sn_ap_flag_]","","6"
"362","295","1","x","0","3","50","08.越南-直聘中心文件","08.越南-直聘中心文件","","","","","#","","","0"
"363","362","1","r","118","4","50","01.越南-文件審核申請書","01.越南-文件審核申請書","","report_page","","http://[_hostIP_]:8080/birt/[_reportPath_]/","e_j_8_01.jsp","[_quest_]u=[_un_][_and_]login_company_num=[_login_company_num_][_and_]selfileUrl=[_selfileUrl_][_and_]fomstype=[_fomsType_]","","61"
"364","362","31","r","124","4","50","02.家庭看護工/幫儲勞動契約書","02.家庭看護工/幫儲勞動契約書","20170331需求","report_page","","http://[_hostIP_]:8080/birt/[_reportPath_]/","e_j_8_02.jsp","[_quest_]u=[_un_][_and_]login_company_num=[_login_company_num_][_and_]selfileUrl=[_selfileUrl_][_and_]fomstype=[_fomsType_]","","32"
